Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Allow decimals,Display precision,_version:1,_order:17,Data class,Data type,Answers
0e10db0a-245e-4a88-8764-003528f7a172,,EID,,,,,,,,,,LabTest,Numeric,
f237801f-febc-4e41-9faf-a90ba4aed3f0,,Discodant/discripant,,,,,,,,,,LabTest,Numeric,
223dfdab-e2f8-4b5b-8095-13e0cdf7a345,,TB Culture,,,,,,,,,,LabTest,Numeric,
388013fc-152f-4b93-9bef-4ecaac606b21,,Virological,,,,,,,,,,LabTest,Numeric,
30f3cbeb-298c-48eb-8ab5-ee8d12805505,,Clinical Chemistry,,,,,,,,,,LabTest,Numeric,
a99dd8e7-bc32-432f-abdd-0a19e82c6f3c,,Haematological,,,,,,,,,,LabTest,Numeric,
90e6b61a-cb04-4270-a5cb-94a59fe810ed,,Parasitological,,,,,,,,,,LabTest,Numeric,
db1e9cdb-4cc8-454d-a5c9-5ba090f0e44d,,Blood samples for transfussion screening,,,,,,,,,,LabTest,Numeric,
2b8741e9-2352-49eb-afc2-7c13e80a91a4,,Proteus spp,,,,,,,,,,LabTest,Numeric,
dce81148-827f-47a8-b340-e9d5a959013d,,Salmonella spp,,,,,,,,,,LabTest,Numeric,
43e76678-2442-4e85-bc9b-cf21e7d54099,,Shigella spp,,,,,,,,,,LabTest,Numeric,
30b7dc73-ff5b-4ac2-9990-8fef405b27ff,,Klebsiella pneumoniae,,,,,,,,,,LabTest,Numeric,
48989212-0e97-420c-b1a5-f2cf621ca0dd,,Pseudomonas spp,,,,,,,,,,LabTest,Numeric,
7b5865f3-4423-4249-a3ce-3fa11cead0db,,Staphylococcus aureus,,,,,,,,,,LabTest,Numeric,
939e6732-b192-4358-b04d-fee24439c273,,Vibrio cholerae spp,,,,,,,,,,LabTest,Numeric,
f44b76f8-a830-48da-aa29-456fd06c0f68,,Neisseria meningitidis,,,,,,,,,,LabTest,Numeric,
05cb8009-d9df-4290-8e95-c26f97707da4,,Neisseria gonorrhoeae,,,,,,,,,,LabTest,Numeric,
2e85871e-83e2-4b21-b248-993f5ac687f6,,Streptococcus pneumoniae,,,,,,,,,,LabTest,Numeric,
2663e3d9-1907-47dc-aaf1-d7a53a71d048,,Haemophilus influenzae,,,,,,,,,,LabTest,Numeric,
c6b8c2c9-cae0-4d1d-8477-a09486a0dfa4,,Haemophilus parainfluenzae,,,,,,,,,,LabTest,Numeric,
6bb6bdd2-e8cd-4659-8f33-35ffcf100317,,Bacterial vaginosis,,,,,,,,,,LabTest,Numeric,
e225b3b3-48b6-43fa-854a-38679ee787c0,,"Ciprofloxacin,LabTest",Ciprofloxacin,,,,,,,,,LabTest,Numeric,
6e0e3ce8-7308-4d48-bdc3-5835386f6314,,"Levofloxacin,LabTest",Levofloxacin,,,,,,,,,LabTest,Numeric,
dbca2208-3921-4ffb-9982-fdc78ca0e8d2,,Gentamicin,,,,,,,,,,LabTest,Numeric,
3c2b3d7d-a32e-42e3-a00f-f58ba69b1fb7,,Tetracycline,,,,,,,,,,LabTest,Numeric,
1bd045d1-99ce-4dca-8ed3-3a4625e3b774,,"Ceftazidime, LabTest",Ceftazidime,,,,,,,,,LabTest,Numeric,
9d676c0a-9ce7-43c6-99fb-6e4bfabba61f,,Cefuroxime,,,,,,,,,,LabTest,Numeric,
4086e27a-946f-48db-abf1-f9d8bed25bcf,,Cefotaxime,,,,,,,,,,LabTest,Numeric,
69b5ad88-a764-498c-b92d-00bc9efde468,,"Ampicillin,LabTest",Ampicillin,,,,,,,,,LabTest,Numeric,
bddc31c3-4ec7-4e71-8dda-f65cfe88f9c2,,"Cefazolin, LabTest",Cefazolin,,,,,,,,,LabTest,Numeric,
caee3282-da9d-414c-8d07-a4b1bc925991,,Amoxillin-Clavulanate,,,,,,,,,,LabTest,Numeric,
2e8e736d-a4a7-45cd-bcfb-fd0af160f57d,,"Amikacin, Lab Test",Amikacin,,,,,,,,,LabTest,Numeric,
4b9bf54c-1ec8-493e-9f58-a1230ca24c70,,Cefoxitin/oxacillin,,,,,,,,,,LabTest,Numeric,
887cbfe1-8778-4eb3-9a36-c09b59e30695,,Chloramphenicol,,,,,,,,,,LabTest,Numeric,
cdf9ac20-3bb4-4d44-a573-9351e53e8dd5,,"Cefepime, LabTest",Cefepime,,,,,,,,,LabTest,Numeric,
9cf7661e-56fa-4e2b-ab1d-bd7cbe05f043,,Piperacillin-tazobactam,,,,,,,,,,LabTest,Numeric,
f35f805a-775e-45bc-bece-3b0fb5623fbd,,obramycin,,,,,,,,,,LabTest,Numeric,
1d31e005-1a9c-4fe9-acc4-82c9e1863909,,Ampicillin Sulbactam,,,,,,,,,,LabTest,Numeric,
238dbbb4-bf09-46b5-9663-09bfabddc945,,Trimethoprim Sulfamethoxazole,,,,,,,,,,LabTest,Numeric,
2e3cb7de-d094-4e35-beb3-d315bfc2d396,,Penicillin,,,,,,,,,,LabTest,Numeric,
bd6609b7-673e-48e8-b334-e8b4fdc5908e,,Vancomycin,,,,,,,,,,LabTest,Numeric,
1f5ef346-b323-4769-b0cc-e7e13b316a01,,Meropenem,,,,,,,,,,LabTest,Numeric,
77afd0cd-f700-4d3f-ba09-8efe75508ace,,Clindamycin,,,,,,,,,,LabTest,Numeric,
5b017b69-562b-4c74-bdbb-76990daa93b4,,Doxycycline/tetracyclin,,,,,,,,,,LabTest,Numeric,
6ac1bb8f-d20d-4c73-8e5c-4193cb642a11,,Ceftazidime-avibactam,,,,,,,,,,LabTest,Numeric,
93b74449-f58b-4045-836b-03f6d3a717d5,,Erythromycin,,,,,,,,,,LabTest,Numeric,
9246b6c3-063f-4267-8967-a6f8a3d97d5e,,Serum Cortisol,,,,,,,,,,LabTest,Numeric,
